longitude,latitude,easting,northing,elevation,gravity
29.40833,-24.62334,1353061.57,7250551.63,872.94,978647.99
29.42999,-24.505,1356082.6,7263612.0,878.73,978641.89
29.44501,-24.94501,1354567.86,7214450.54,862.27,978663.39
29.46025,-24.07021,1362137.2,7311911.51,1413.2,978476.6
29.47501,-24.53999,1360435.1,7259426.63,834.53,978662.09
29.52255,-24.14111,1368033.17,7303614.82,1347.2,978485.4
29.545,-24.49001,1367923.12,7264557.43,818.99,978658.89
29.55499,-24.57333,1368362.29,7255200.52,823.26,978659.69
29.57333,-24.63,1369836.25,7248762.36,898.24,978646.99
29.60167,-24.52499,1373462.79,7260293.95,828.44,978655.19
29.645,-24.56168,1377626.24,7255922.61,924.14,978652.39
29.6875,-24.12833,1385008.17,7303995.52,1800.0,978388.47
29.74167,-24.64,1386930.54,7246557.25,1048.5,978647.99
29.755,-24.41333,1389906.94,7271761.16,776.32,978662.49
29.80833,-24.72,1393151.11,7237192.96,1239.61,978621.4
29.85001,-24.74167,1397241.83,7234498.79,1380.73,978598.71
29.87583,-24.47197,1401830.58,7264425.3,907.0,978649.39
29.92999,-24.51167,1407074.24,7259635.25,1075.32,978587.81
29.98334,-24.87167,1409868.69,7219096.27,1016.5,978661.49
30.0325,-24.62117,1416735.54,7246725.07,1554.0,978526.09
30.06,-24.47833,1420598.48,7262485.16,848.86,978665.29
30.075,-24.42,1422561.63,7268895.91,766.87,978663.59
30.09833,-24.35834,1425401.85,7275622.45,707.13,978648.39
30.12666,-24.07668,1430372.28,7306880.44,1084.0,978547.04
30.17084,-24.1925,1434047.93,7293649.25,1625.0,978443.25
30.21918,-24.01167,1440338.43,7313515.89,628.0,978652.16
30.32333,-24.47083,1447566.83,7261518.28,1378.0,978489.31
30.39999,-24.65167,1454013.9,7240781.89,962.24,978599.51
30.44167,-24.71249,1457797.27,7233693.0,1387.0,978522.83
30.46417,-24.43832,1462217.17,7264163.49,569.0,978655.2
30.50999,-24.86833,1463546.31,7215795.33,1517.0,978502.62
30.575,-24.85333,1470291.75,7217002.85,1220.41,978562.82
30.67667,-24.00999,1487306.65,7310523.65,487.37,978678.88
30.83,-24.15833,1501880.6,7292835.71,450.79,978702.07
30.84332,-24.93167,1497014.44,7206277.07,1440.17,978528.62
30.91167,-24.955,1503789.95,7203157.14,971.39,978625.9
